TEAM,TEAM_KP,CONFERENCE,CONF_TYPE,WIN,LOSS,SEED,PTS/GM,AVG MARGIN,FGM/GM,FGA/GM,OFF EFF,DEF EFF,eFG%,TS%,3PT%,2PT%,FT%,3PTM/GM,3PTA/GM,OFF REB/GM,DEF REB/GM,TTL REB/GM,OFF REB%,DEF REB%,TTL REB%,BLKS/GM,STL/GM,AST/GM,TO/GM,AST/TO%,WIN% ALL GM,WIN% CLOSE GM,POSS/GM,PF/GM,OPP PTS/GM,OPP AVG MARGIN,OPP FG%,OPP eFG%,OPP 3PT%,OPP 2PT%,OPP FT%,OPP TS%,OPP AST/GM,OPP TO/GM,OPP AST/TO%,NET AST/TOV RATIO,STOCKS/GM,STOCKS-TOV/GM,NET RANK,KenPom RANK,KenPom EM,KenPom AdjO,KenPom AdjD,KenPom AdjT,KenPom Luck,KenPom SOS EM,KenPom SOS OppO,KenPom SOS OppD,KenPom NCSOS Adj EM
Denver,Denver,Sum,MM,15,17,0,71.7,-3.7,25.8,53.8,1.007,1.059,52.3,112.3,32.9,53.4,72.6,4.6,14,7.8,24.3,34.9,28.6,74.9,52.8,2.9,5.3,11.3,14.8,0.76,0.433,0.556,71.2,17.2,75.3,3.7,44.9,51.7,33.9,52.2,75.2,109.7,14.1,10.9,1.291,-0.53,8.2,-6.6,287,297,-10.43,100.8,111.2,68.6,0.029,-6.46,103.2,109.7,-8.41
Vanderbilt,Vanderbilt,SEC,MM,20,14,0,72.5,0.4,25.2,58.9,1.05,1.044,50.1,106.8,34.2,49.2,71.2,8.5,24.9,9.8,23.2,36.2,29.2,70.2,49.7,4.5,5,11.8,10.8,1.092,0.588,0.714,69.1,16.4,72.1,-0.4,43.4,49.2,31.4,50.4,69.6,104.6,13.1,10.1,1.293,-0.20,9.5,-1.3,81,80,10.82,115.7,104.9,66.7,0.078,9.46,109.3,99.8,2.3
Grd Canyon,Grand Canyon,WAC,MM,24,11,14,72.3,3.6,24.6,54.4,1.056,1.003,52.9,112.6,37.6,50.5,71.5,8.3,22.2,8.1,24.2,35.2,27.9,72.9,50.9,3.1,4.6,11.6,12.2,0.949,0.656,0.588,68.5,18.5,68.7,-3.6,41.9,47.2,32,46.8,70,101.5,10.6,10,1.056,-0.11,7.7,-4.5,104,109,5.99,112.3,106.3,65.2,0.042,0.99,104.7,103.7,0.09
LA Lafayette,Lafayette,Pat,MM,0,0,0,75.6,5,27.2,57.5,1.077,1.005,53,111.5,36.6,52.2,67.2,6.7,18.2,9.7,23.3,35.7,32.1,75.1,53.8,2.9,7.4,13.8,12.1,1.141,0.767,0.714,70.2,17.2,70.5,-5,45.2,50.6,35.9,49.2,70.5,107.7,10.8,12.4,0.871,0.27,10.3,-1.8,271,272,-8.72,95.5,104.3,63,-0.061,-3.83,103.8,107.6,3.24
Wofford,Wofford,SC,MM,17,16,0,72.3,-1.7,26.3,57.1,1.063,1.088,52.3,110.8,32.1,55,73.2,7.2,22.3,7.7,21.4,31.8,26.2,72.8,49.7,1.9,5.6,11.9,10.9,1.095,0.467,0.539,68,14.6,74,1.7,47.2,54.8,35.3,56.1,73.6,114.6,12.5,11,1.133,-0.04,7.5,-3.4,226,232,-4.96,108.8,113.8,65.1,0.023,-2.79,104.1,106.9,-1.12
Morgan St,Morgan St.,MEAC,MM,15,16,0,69.9,-5.5,25.4,59.9,0.919,0.991,47.8,101.7,36.3,44.9,68.1,6.5,17.9,9.5,20.6,33.3,28.7,66.3,45.7,4.3,8.7,13.7,16.2,0.847,0.407,0.667,76,21.6,75.3,5.5,45.4,50.7,31.4,52.5,68.1,108.4,14.7,17.5,0.841,0.01,13.0,-3.2,292,313,-12.33,94.5,106.8,70.8,0.073,-5.55,101.9,107.5,2.21
St Bonavent,St. Bonaventure,A10,MM,14,18,0,66.8,-0.9,24,56.1,0.973,0.986,49.2,104.4,34.8,47.5,70.3,7.1,20.3,8.1,21.7,32.6,25.5,72.7,48.8,3.4,7,11.9,12.6,0.941,0.438,0.375,68.6,18.6,67.7,0.9,42.9,48.6,28.7,52.1,71.6,105.8,12.9,13,0.993,-0.05,10.4,-2.2,199,201,-2.01,101.2,103.2,65.7,-0.032,-1,104.5,105.5,-3.59
Southern,Southern,SWAC,MM,15,17,0,69.7,-2.1,24,57.2,0.943,0.971,48.5,104.7,32.8,48,72.3,7.5,22.9,7.2,22.4,31.6,22.4,72.9,47.2,2.4,8.2,13.5,14.8,0.91,0.433,0.5,73.8,20.2,71.7,2.1,44.5,51.4,34,51.6,69.3,110,14.5,16.7,0.87,0.04,10.6,-4.2,,274,-8.85,96.2,105.1,71,-0.008,-6.75,100.2,106.9,7.9
TN Tech,Tennessee Tech,OVC,MM,16,17,0,72.1,-3,25.2,58,1.003,1.045,51.4,108.8,37.3,48.1,71.5,9.2,24.7,7.3,23,33.4,22.6,71.5,46.9,2.4,5.7,13.6,12.5,1.088,0.433,0.571,71.9,16.2,75.1,3,45,51.7,34,52.1,74.3,109.2,15.7,12.7,1.236,-0.15,8.1,-4.4,270,288,-9.73,101.6,111.3,66.7,0.019,-7.15,101.4,108.5,1.93
Charlotte,Charlotte,CUSA,MM,18,14,0,66.7,4,24.6,52.3,1.051,0.988,54.8,114.4,37.6,53.6,74.4,8,21.3,5.6,22.3,29.9,20.7,76.9,50.2,2.6,5.3,12.9,10.8,1.197,0.563,0.4,63.5,14,62.8,-4,43.5,50.2,34.7,49,73.4,106.2,9.7,11,0.878,0.32,7.9,-2.9,116,117,4.6,108,103.4,60.5,-0.038,-0.75,104.5,105.3,-7.03
Manhattan,Manhattan,MAAC,MM,0,0,0,66.6,-4.9,24.1,55.8,0.954,1.025,49.2,103.8,32.9,49.1,65.9,6.6,20.1,7.9,21,31.3,25.4,67.1,46.1,3.5,7.5,12.4,13.6,0.914,0.379,0.667,69.8,16.6,71.5,4.9,44.6,51.3,36.8,49.1,70.5,108.5,14.5,14.1,1.029,-0.12,11.0,-2.6,302,307,-11.51,97.5,109.1,67.1,0.047,-5.73,101.6,107.4,-6.63
Central FL,UCF,Amer,MM,18,14,0,72.2,6.3,25,58.2,1.038,0.948,50.6,108.7,35.9,48.1,77.1,8.9,24.7,9.9,21.5,35.1,32.4,71.7,51.4,3.9,7.4,14.2,13.2,1.078,0.563,0.417,69.6,16.7,66,-6.3,42.1,48.2,31.3,49,72.8,104.2,12.3,14.6,0.842,0.24,11.3,-1.9,71,65,12.59,110.2,97.6,64.5,-0.113,4.02,107.4,103.4,-0.29
Georgia,Georgia,SEC,MM,16,16,0,68.5,-3,22.8,55.4,0.975,1.018,47.1,103.7,31.7,46.8,72.7,6.7,21.2,8.8,23.2,35.8,27.3,71.2,50.2,2.6,6.3,11.2,13.2,0.846,0.5,0.5,70.3,16,71.5,3,44,49.8,31.9,51,69.3,105.3,14.7,11.5,1.274,-0.43,8.9,-4.3,152,149,1.39,104.4,103,67.7,0.069,4.36,107.5,103.1,-7.05
Hartford,Hartford,IND,MM,0,0,0,59.7,-15.2,22.1,53.7,0.88,1.103,47.7,99.7,32,47.4,65.7,6.9,21.6,6.8,19.6,29.6,22.3,68.6,45.4,3.8,5.9,11.8,15,0.784,0.08,0,67.8,14.8,74.8,15.2,48.2,55.4,38.7,53.8,70.6,115.2,16.1,11.6,1.385,-0.60,9.7,-5.3,363,362,-29.75,89.4,119.2,65.5,-0.039,-9.55,99.9,109.5,-9.44
SC Upstate,USC Upstate,BSth,MM,16,15,0,67.3,-3.6,24.7,54.7,0.969,1.02,51.1,106.9,33.6,51.5,65.5,6.4,19,7.1,21.2,30.6,23.2,68.9,46.3,4.4,7.2,11.4,13.3,0.86,0.483,0.7,69.5,20.5,70.9,3.6,43.9,50,34.2,49.3,71,108.5,11.2,14,0.802,0.06,11.6,-1.7,255,258,-7.4,99.1,106.5,68,0.094,-3.49,103.8,107.3,2.38
Bradley,Bradley,MVC,MM,25,9,0,70.2,8,26.1,56.7,1.047,0.928,53,109.8,35.6,52.7,66.5,7.9,22.3,8.6,24.4,35.2,27.9,77.6,52.8,3.9,6.9,13.4,11.8,1.128,0.727,0.667,67.1,16.1,62.3,-8,40.5,46.7,32.3,45.6,74.5,101.7,10.5,12.7,0.826,0.30,10.8,-1.0,72,86,9.24,107.1,97.9,65.2,0.063,-1.1,103.9,105,0.3
S Car State,South Carolina St.,MEAC,MM,0,0,0,72.1,-12.6,26.6,63.7,0.95,1.117,46.9,99.4,30.8,47.3,66.1,6.7,21.7,11.6,19.4,34.9,32.2,66.5,48.1,3.1,7.2,13.7,15.5,0.888,0.133,0.222,75.9,20.6,84.7,12.6,50.5,57.7,39.5,56.8,72.2,121.7,17.1,15.5,1.101,-0.21,10.3,-5.2,347,345,-17.07,98.6,115.7,71.7,-0.045,-2.33,103.9,106.3,4.11
Utah,Utah,P12,P5,17,15,0,68.7,4.8,24.7,57.8,1,0.93,49,104.2,33.3,48.4,70.8,7.3,21.8,9.2,26.6,39.2,29.2,75.5,52.8,4,5,14.4,12,1.2,0.531,0.6,68.6,15.2,63.8,-4.8,39.7,45,30.2,44.9,66.2,95.1,12.8,10.2,1.258,-0.06,9.0,-3.0,79,72,11.85,107.7,95.8,66.2,-0.077,6.83,107.6,100.8,-3.66
Neb Omaha,Nebraska Omaha,Sum,MM,0,0,0,67.4,-9,24.4,56,0.968,1.097,48.5,105.4,33.7,47.7,78.1,5.5,16.5,7.2,22.7,32.3,23.2,73.3,47.9,2.9,5.1,11.6,12.6,0.916,0.258,0.2,69.6,18.4,76.3,9,45.7,53.2,36.5,52,75,113.4,13.9,10.8,1.293,-0.38,8.0,-4.6,,316,-12.53,100.4,113,67.9,0.002,-1.08,105,106.1,8.29
Utah Val St,Utah Valley,WAC,MM,25,8,0,75.6,6.5,26.7,58,1.024,0.936,51.6,111,33,52.6,73.9,6.4,19.5,8.8,28,39.5,27.6,72.9,52,6.8,6.2,15.4,14.1,1.092,0.733,0.636,73.8,18.4,69.1,-6.5,38.8,44.1,31.6,42.4,68.7,95.1,11.2,12.1,0.931,0.16,13.0,-1.1,74,79,10.87,107.3,96.5,70,0.046,2.03,106.2,104.1,5.09
S Carolina,South Carolina,SEC,MM,0,0,0,64.3,-8.3,23.3,57.7,0.953,1.076,46.9,98.9,32.3,45.8,66.1,7.6,23.6,10.2,21,34.1,31.1,68.7,49.3,2.6,4.9,11.1,13.2,0.843,0.344,0.556,67.5,16,72.6,8.3,46.5,52.6,33.8,53.7,67.4,109.8,14.7,10.5,1.403,-0.56,7.5,-5.7,234,220,-3.42,103.7,107.1,64.3,0.042,6.63,108.4,101.8,-3.11
Mercer,Mercer,SC,MM,14,19,0,66.1,-1.1,24.7,56.3,0.986,1.003,48.9,103.5,32.7,48.8,69.1,5.6,17.2,9.1,22.3,34.4,29.3,74.5,51.5,2.1,5.3,11.6,11.9,0.973,0.387,0.25,67.1,18.2,67.3,1.1,43.2,48.8,33,48.4,72.6,105.6,10.7,11.4,0.94,0.03,7.4,-4.5,227,230,-4.88,99.7,104.5,64.6,-0.085,-3.31,104.6,107.9,-2.13
W Carolina,Western Carolina,SC,MM,18,15,0,71,-2,24.4,57.9,1.006,1.034,49,105.3,33.6,48.1,71,8.1,24,7.5,24,34.5,23,76.4,49.4,2.4,5.3,12,10.7,1.125,0.5,0.714,70.6,17.9,73,2,46.1,51.1,33.1,51.7,71.5,108.9,11.3,10.8,1.043,0.08,7.7,-3.0,,234,-5.38,103.1,108.4,67.4,0.051,-3.62,104,107.7,-3.82
NC-Wilmgton,UNC Wilmington,CAA,MM,24,10,0,67,1.9,22.8,52.7,0.997,0.969,48.9,106.9,33.3,48.3,73.9,6,17.9,8,21.4,32.5,26.7,73.9,49.8,2.5,6.7,10,12.3,0.814,0.688,0.667,67.3,18.8,65.2,-1.9,43.7,49.2,30.5,51.2,70.4,106,9.1,13.6,0.665,0.15,9.2,-3.1,,158,0.86,102.4,101.6,65.4,0.133,-3.38,103.2,106.6,3.9
Harvard,Harvard,Ivy,MM,14,14,0,68.1,1.3,24.9,56.7,0.983,0.964,49.5,104.7,30.1,52,68,6.2,20.7,9.6,24.4,36.1,29.7,77,52.8,4,7.3,13.1,13.5,0.969,0.462,0.364,69.2,14.8,66.8,-1.3,42.7,48.8,31.5,49.7,75.1,103.9,11.6,12.5,0.923,0.05,11.3,-2.2,158,163,0.32,101.3,100.9,66,-0.081,-1.7,104,105.7,-2.85
St Marys,Saint Mary's,WCC,MM,26,7,5,71,11,25.6,56.1,1.081,0.914,52.5,110.2,36.7,50.9,69.1,7.6,20.8,9.1,23.3,35.4,31.1,80.1,55.4,3.5,6.8,12.5,10.5,1.184,0.781,0.375,65.7,16.4,60,-11,41.5,46.7,32.8,45.6,75.2,101.6,7.8,12.3,0.64,0.54,10.3,-0.2,11,11,21.9,113.5,91.6,61.7,0.004,6.38,110.2,103.8,4.61
Detroit,Detroit Mercy,Horz,MM,14,19,0,76.1,0.4,26.5,61.4,1.088,1.082,51.4,109.6,38.7,46.4,77.2,10.2,26.2,11.4,22.1,36.6,34,72.1,52.2,1.9,6.2,12.4,12,1.031,0.406,0.167,69.9,16,75.7,-0.4,46.3,53.6,36.8,52.6,75.7,113.5,14.4,11.7,1.233,-0.20,8.1,-3.9,212,199,-1.83,111.6,113.5,67.3,-0.103,-3.21,104.1,107.3,4.57
Prairie View,Prairie View A&M,SWAC,MM,13,19,0,66,-2.3,23.3,58.9,0.922,0.955,44.8,96.8,30.9,44,67.6,6.1,19.9,10.1,22.4,34.9,29.6,72.7,50.3,3.5,7.3,11.1,13.8,0.802,0.367,0.333,71.5,19.2,68.3,2.3,42.5,48.2,33.3,47.3,71.9,105.6,11.5,14.9,0.772,0.03,10.8,-3.0,,268,-8.35,94.3,102.7,67.8,-0.061,-6.01,100.6,106.6,5.55
Kent State,Kent St.,MAC,MM,28,6,13,75.7,9.4,27,60.2,1.059,0.928,51.3,109.1,33.2,52.2,72.3,7.7,23.3,9.3,22.6,35.2,29.3,73.2,50.2,4,8.6,12.2,11.4,1.071,0.813,0.667,71.5,19.5,66.3,-9.4,40.9,47.2,30.9,47.8,72.4,103.4,11.3,15.7,0.716,0.36,12.6,1.2,59,71,11.9,108.3,96.4,68.1,0.019,-1.42,106.3,107.7,3.47
Montana,Montana,BSky,MM,17,14,0,69.5,0.7,24.7,53.2,1.058,1.048,53.8,114.7,37.3,52.4,78.9,7.9,21.2,6,21.4,30.1,22.2,77.4,49.8,2.4,4.7,12.3,11.1,1.108,0.533,0.546,65.6,18.5,68.8,-0.7,45.5,51.2,32.5,52.5,77.3,111.6,11,10.2,1.075,0.03,7.1,-4.0,167,159,0.64,108.9,108.3,63.7,0.017,-0.79,105.6,106.4,3.6
Cincinnati,Cincinnati,Amer,MM,21,12,0,76.6,6.9,28.1,63.1,1.068,0.972,51.7,108.2,35.5,50.7,70,9,25.4,9.4,24.3,36.8,28.9,74.5,51.2,3.9,6.1,15.5,10.6,1.459,0.625,0.5,71.7,16.2,69.7,-6.9,42.8,47.7,31.5,47.8,74.4,102.8,12.7,12,1.057,0.40,10.0,-0.6,70,54,13.35,112.3,99,68.5,-0.032,3.98,107.5,103.5,-2.64
Brown,Brown,Ivy,MM,14,13,0,69.6,0.2,25.3,57.7,0.975,0.971,50.7,105.7,34.7,49.8,64.2,8,23,8,24.5,34.8,24.6,79,50.3,3.2,7.2,13.8,13.3,1.036,0.519,0.429,71.4,16.2,69.3,-0.2,44.7,51.2,35,50.4,71,107.7,12,13.8,0.874,0.16,10.4,-2.9,183,184,-0.98,100.8,101.8,69.3,0.005,-2.24,104.1,106.3,-4.34
Akron,Akron,MAC,MM,22,11,0,74.2,5.8,25.4,57.4,1.071,0.986,51.9,111.4,35,51.5,75.5,8.8,25.2,8.4,23.5,35.2,28,76.2,51.7,2.6,5.8,13,11.2,1.158,0.645,0.667,69.3,16.2,68.3,-5.8,43.5,49.7,35.2,48,74.3,106.1,11.5,12,0.957,0.20,8.4,-2.8,102,104,6.47,110,103.5,65.3,0.002,-1.76,105.2,106.9,-0.52
LA Monroe,Louisiana Monroe,SB,MM,0,0,0,63.4,-8.1,22,56.8,0.922,1.039,45.2,97.8,34.2,41.6,70.9,7.3,21.4,8.4,22.1,34,25.2,72.3,48.2,3.6,6.3,11.3,12.6,0.898,0.276,0.429,68.8,15.6,71.5,8.1,44.8,51.7,36,50.3,73.7,109.7,13.9,11.9,1.169,-0.27,9.9,-2.7,,276,-9.22,97.9,107.1,66,-0.024,0.97,105.2,104.3,0.69
TX Southern,,,,,,,67.9,-5,24.8,58.8,0.922,0.989,46.2,99,29.1,47.2,66,4.8,16.5,9.3,23.4,36.2,27.3,73.6,50.2,3.1,6.4,11,14.7,0.748,0.375,0.462,73.7,19,72.9,5,43.5,49.3,33.3,48.9,71,106.3,11.9,13.3,0.897,-0.15,9.5,-5.2,,,,,,,,,,,
Cal Baptist,Cal Baptist,WAC,MM,17,16,0,66.8,0.9,23.6,56.2,0.988,0.974,49,103.3,32.5,49.2,65.8,8,24.5,8.5,24.2,36.2,26.5,75.4,51.2,3,4.3,13.1,11.9,1.097,0.484,0.375,67.6,17.5,65.9,-0.9,42.7,47.6,29.7,49,72.6,102.1,11.1,10.6,1.052,0.04,7.3,-4.6,,156,1.04,103.7,102.7,64.1,-0.047,-0.74,104,104.8,-6.62
TN State,Tennessee St.,OVC,MM,18,14,0,75.5,-0.1,26.3,60,1.019,1.02,50.9,107.8,35.1,49.6,68.3,8.6,24.5,8.6,23.1,35.2,25.1,73.9,48.6,3.1,6,12.9,12.5,1.031,0.5,0.75,74.1,21,75.6,0.1,44.1,49.9,33.8,49.5,75.2,109.6,12.2,13.4,0.91,0.12,9.1,-3.4,280,292,-10.03,101.1,111.2,71,0.01,-10.15,100.1,110.2,-8.94
Loyola Mymt,Loyola Marymount,WCC,MM,19,12,0,74.5,0.7,26.5,58.5,1.043,1.034,53.1,110.8,36.5,51.9,67,9.2,25.2,8.5,23.6,35.3,27.9,78,52.5,2.8,5.4,11.3,12.8,0.883,0.6,0.7,71.5,19.5,73.9,-0.7,46.2,51.9,34.4,52,73,110.8,12,11.3,1.059,-0.18,8.2,-4.6,,107,6.32,110,103.7,67.1,0.079,4.35,109,104.6,0.43
Dayton,Dayton,A10,MM,22,12,0,69,8.2,24.7,52.4,1.052,0.927,53.6,112.8,34.5,54.7,69.4,6.7,19.5,8,24.8,35.8,29.3,75.2,53.6,4.3,4.9,15.4,12.2,1.261,0.667,0.25,65.6,13.6,60.8,-8.2,39.2,44.8,28.8,45.7,70.9,95.5,10.7,10.5,1.026,0.24,9.2,-3.0,78,78,11.2,110,98.8,62.4,-0.056,0.18,104.7,104.5,-1.73
Arkansas St,Arkansas St.,SB,MM,13,20,0,63.7,-4.8,22.4,53.6,0.971,1.044,47.6,101.9,34.6,45.5,67.6,6.2,17.9,8.8,22.7,33.4,27.1,73.8,49.9,3.1,6.1,11.9,11.7,1.017,0.333,0.444,65.6,16.7,68.5,4.8,44.1,50.2,36.4,48,74.7,108.5,11.7,10.7,1.087,-0.07,9.2,-2.5,283,284,-9.47,100.3,109.8,63.4,-0.012,-2.98,103.1,106.1,-10.39
S Alabama,South Alabama,SB,MM,19,16,0,69.8,4.1,26.7,57.7,1.031,0.971,52.8,109.5,34.5,53.4,69.2,7.5,21.6,5.8,23.6,32.1,19.4,73.1,47.1,4.2,5.8,11.2,9.7,1.146,0.515,0.2,67.7,14.8,65.8,-4.1,42.5,46.6,29,47.9,71.9,100.1,10.1,10.7,0.944,0.20,10.0,0.3,106,94,7.74,108.2,100.4,65.8,-0.111,0.91,104.9,103.9,3.82
Army,Army,Pat,MM,17,16,0,71.4,0.5,26,55.1,1.03,1.024,53.8,112.8,34.9,54.8,69.8,7.3,20.9,6.8,24.2,33.4,23.5,76.8,51.8,2.1,5,12.5,13,0.963,0.484,0.5,69.3,16.2,71,-0.5,45.1,51.4,33.1,52.4,69.3,107.9,13.8,10.6,1.294,-0.33,7.1,-5.9,,252,-6.91,103,109.9,68.6,-0.043,-8.51,100,108.5,-9
Creighton,Creighton,BE,P5,21,12,6,76.6,8.2,27.5,58.9,1.08,0.965,54.3,114.8,36,54.5,76.7,8.9,24.8,7.5,27.2,37.2,24.4,78.1,52.6,4.2,5.2,15.9,11.6,1.367,0.636,0.333,71,13.2,68.5,-8.2,42.2,47.3,34.1,45.6,72.9,99.6,12.5,10,1.248,0.12,9.4,-2.2,17,13,20.65,114.6,94,68,-0.074,10.34,110.9,100.5,6.44
Kansas St,Kansas St.,B12,P5,23,9,3,75.5,6.5,26.2,57.8,1.028,0.94,51.5,111.2,34,51.8,75,7.1,20.9,8.8,23.6,35.7,29,73,51.6,2.8,7.7,16.8,14.4,1.165,0.719,0.714,73.5,17.7,69,-6.5,41.9,47.5,30.1,48.8,69.2,102.5,13.5,14.8,0.909,0.26,10.5,-3.9,24,24,18.31,112.5,94.2,70.2,0.036,10.4,109.3,98.9,-2.59
Alabama St,Alabama St.,SWAC,MM,0,0,0,62.4,-10,21.8,58.8,0.891,1.034,42.1,92.5,30.3,40.5,70.5,5.9,19.6,10.4,21.7,35.4,29.3,66.8,47.8,3.5,5.8,9.8,13,0.756,0.233,0.333,70.1,17.8,72.5,10,43.6,49.5,34.1,48.7,69.1,105.6,11.9,12.2,0.973,-0.22,9.3,-3.7,346,349,-17.56,93.3,110.8,66,0.005,-5.05,101.2,106.2,7.94
CS Fullerton,Cal St. Fullerton,BW,MM,20,13,0,68.3,2,23.2,54.3,0.992,0.963,49.5,106.3,36.2,46.5,69.5,7.4,20.4,7.7,22.5,32.9,24.5,73.4,48.3,2.5,6.3,9.9,11.8,0.839,0.581,0.615,68.9,18.2,66.3,-2,42.3,48.5,31.7,49.1,70.8,104.2,11.5,13.8,0.834,0.01,8.8,-3.0,121,119,4.55,105,100.4,64.8,0.011,0.99,104.8,103.8,3.82
Coastal Car,Coastal Carolina,SB,MM,0,0,0,70.1,-7.2,24.8,59.6,0.998,1.1,47.5,103.5,30.6,48.4,78.8,6.9,22.6,9.3,23,35.8,28.2,69.6,49.8,2.8,5.3,11.2,12.3,0.915,0.286,0.455,70.3,16.5,77.3,7.2,44.4,53.1,36.7,51.3,72.1,111.7,15.3,10.7,1.428,-0.51,8.1,-4.2,293,298,-10.47,104.3,114.7,68.4,0.019,-1.08,104.6,105.7,-2.55
UNLV,UNLV,MWC,MM,19,13,0,72.6,2,24.7,58.4,1.011,0.983,49.2,106.3,34.1,47.9,72.9,8,23.4,8.9,21.5,32.7,26.6,70.9,47.3,3.6,8.9,12.2,12.3,0.997,0.581,0.333,71.8,17.3,70.5,-2,44.3,52.4,36.1,50.9,73.5,111.1,14.2,17.3,0.821,0.18,12.5,0.2,91,91,8.22,107.8,99.6,69.5,0.014,5.59,107.8,102.2,-2.56
North Dakota,North Dakota,Sum,MM,13,20,0,70.6,-4.5,25.3,58.4,1.017,1.082,51,107,34.4,50.6,69.1,8.9,26,7.9,22.3,32.7,24,74.1,48.1,2.7,4.2,11.3,11.4,0.994,0.355,0.333,69.4,16.2,75.1,4.5,47.8,53.5,36.4,53,74.7,112.9,11.4,10.6,1.073,-0.08,6.9,-4.5,273,262,-8.05,103.4,111.5,67.2,-0.027,-3.17,104.5,107.6,0.09
N Kentucky,Northern Kentucky,Horz,MM,22,12,16,67.2,2.5,24.1,56.6,1.022,0.984,49.8,105.1,35.2,47.7,70.4,8.1,23,9.7,20.1,31.9,30.4,69.8,48.4,2.6,9.1,13.2,11.3,1.169,0.625,0.583,65.8,15.6,64.7,-2.5,44.2,51.3,36.7,48.9,70.2,108.4,13.9,14.9,0.931,0.24,11.7,0.4,154,161,0.52,103.3,102.8,62,0.053,-3.89,104.4,108.3,4.21
E Michigan,Eastern Michigan,MAC,MM,0,0,0,72.1,-9.2,25.8,58.7,0.995,1.122,49.2,106.7,31.4,50.3,76.5,6.2,19.7,6.9,20.8,31.5,22.1,68.6,46,2.2,6.1,9.5,11.9,0.799,0.233,0.25,72.5,19,81.3,9.2,48.5,55.6,34.1,58.7,70.5,116.5,13.7,12.1,1.135,-0.34,8.3,-3.6,,317,-12.6,101.8,114.4,69.2,-0.011,-1.25,106.3,107.5,-0.51
Marist,Marist,MAAC,MM,13,20,0,63.9,-2.8,22.6,55.1,0.955,0.996,47.9,102,32.8,46.9,69.8,7.7,23.4,7.8,23.5,34.2,24.6,72.3,48.9,3.8,5.9,10.8,11.9,0.911,0.394,0.429,67,15.4,66.7,2.8,41.3,47.9,35,45.1,71.7,102.4,11.5,11,1.05,-0.14,9.7,-2.2,282,279,-9.27,97.8,107.1,65.6,-0.023,-6.57,100.7,107.2,-10.21
E Carolina,East Carolina,Amer,MM,16,17,0,68.8,-1.7,23.3,57.5,0.981,1.005,47.1,101.8,31.6,46.9,68.8,7.5,23.9,10.3,23.2,37.1,31,72.4,51.6,2.6,6.5,13.1,13.2,0.995,0.485,0.444,70.2,17.7,70.5,1.7,43.6,49.2,32.9,49.2,71.5,105.5,12.5,11.9,1.056,-0.06,9.1,-4.1,188,176,-0.72,103.4,104.1,67.5,0.036,0.85,105.6,104.8,-8.54
Monmouth,Monmouth,CAA,MM,0,0,0,61.7,-13,22.6,56.2,0.881,1.068,43.8,94.8,28.8,44.1,66.7,4.1,14.1,9.2,20.6,32.8,28,69.1,47.5,2.5,8.4,12,14.3,0.837,0.212,0.2,70,19.2,74.7,13,45.9,54.4,37,53.4,71.9,115.4,14,14.3,0.983,-0.15,10.9,-3.4,351,350,-17.73,92.7,110.4,68.4,-0.016,-2.03,104,106.1,5.43
Florida Intl,FIU,CUSA,MM,14,18,0,72.5,-3,26.8,58,0.986,1.027,52.2,110.1,32.8,53.8,72.3,6.8,20.7,6.8,20.7,31,22.1,64.9,44.9,4,9.1,12,14.8,0.813,0.4,0.5,73.6,17.1,75.5,3,44.9,52.1,36.5,50.4,74.7,111,14.4,16.4,0.878,-0.07,13.1,-1.7,218,222,-3.56,102.9,106.5,70.1,-0.003,-0.03,105.6,105.7,-8.13
Morehead St,Morehead St.,OVC,MM,21,11,0,66.4,-1.7,22.7,53.1,0.987,1.012,49.5,106.7,35.6,47.1,72.3,7.2,20.1,7.2,23.6,34,24.4,76.5,51.6,3.6,5.2,12.5,12.5,1.003,0.607,0.75,67.3,16.1,68.1,1.7,44.7,49.8,32.7,50.1,74.9,106.5,10.6,10.4,1.021,-0.02,8.8,-3.7,228,247,-6.59,100.4,107,63.3,0.143,-6.95,102.2,109.1,4.76
Valparaiso,Valparaiso,MVC,MM,0,0,0,68.1,-6,25.2,57.6,0.953,1.036,49,104.4,29.2,51.9,72.5,6.1,20.9,6.4,24.5,33.6,20.6,77.5,49.1,2.6,5.8,13.5,12.7,1.061,0.323,0.4,71.5,16.8,74,6,45.1,51.5,34.3,51.6,73.4,109.8,13.9,11,1.261,-0.20,8.4,-4.3,289,291,-9.99,98.4,108.4,67.9,-0.008,-2.53,104.1,106.6,-4.81
Oklahoma,Oklahoma,B12,P5,15,17,0,67.7,0.1,24.4,53.3,0.992,0.991,52.4,111,35.1,52.2,73.5,7,19.9,6,24,32.8,21.4,74.4,50,3,5.7,13,13.4,0.974,0.469,0.364,68.2,16.2,67.5,-0.1,43.2,48,31.2,48.5,70.3,102.5,10.7,10.4,1.03,-0.06,8.7,-4.7,68,53,13.7,111.1,97.4,65.3,-0.044,13.32,110.4,97.1,4.11
Texas State,Texas St.,SB,MM,16,19,0,65.2,-1.6,24,54.4,0.994,1.019,48.2,103.8,31.4,48.5,72.4,4.3,13.8,8.9,20.6,32.3,29.8,74.2,51.1,3.5,6.2,9.7,11.5,0.84,0.438,0.6,65.6,18.4,66.8,1.6,44.8,50.9,36.4,49,70.5,109.5,10.8,11.9,0.906,-0.07,9.7,-1.8,194,190,-1.25,104.8,106,63.6,0.001,0.49,104.7,104.2,-0.75
