TEAM,TEAM_KP,CONFERENCE,CONF_TYPE,WIN,LOSS,SEED,PTS/GM,AVG MARGIN,FGM/GM,FGA/GM,OFF EFF,DEF EFF,eFG%,TS%,3PT%,2PT%,FT%,3PTM/GM,3PTA/GM,OFF REB/GM,DEF REB/GM,TTL REB/GM,OFF REB%,DEF REB%,TTL REB%,BLKS/GM,STL/GM,AST/GM,TO/GM,AST/TO%,WIN% ALL GM,WIN% CLOSE GM,POSS/GM,PF/GM,OPP PTS/GM,OPP AVG MARGIN,OPP FG%,OPP eFG%,OPP 3PT%,OPP 2PT%,OPP FT%,OPP TS%,OPP AST/GM,OPP TO/GM,OPP AST/TO%,NET AST/TOV RATIO,STOCKS/GM,STOCKS-TOV/GM,NET RANK,KenPom RANK,KenPom EM,KenPom AdjO,KenPom AdjD,KenPom AdjT,KenPom Luck,KenPom SOS EM,KenPom SOS OppO,KenPom SOS OppD,KenPom NCSOS Adj EM
Idaho,Idaho,BSky,MM,0,0,0,69.6,-4.8,24.4,52.9,1.022,1.093,52,112.5,32,54.2,77.1,6.1,19.2,5.2,21,29,18.1,72.9,46.3,1.8,4.5,10.9,11.6,0.939,0.267,0.5,68.1,17.3,74.4,4.8,48.1,54.3,38.7,52.6,73.1,114.6,11.7,10.8,1.083,-0.14,6.3,-5.3,310,300,-10.71,102.8,113.5,65.9,-0.057,-3.41,104.3,107.7,-6.02
IPFW,Purdue Fort Wayne,Horz,MM,17,15,0,71.6,-0.5,25.1,58.8,0.997,1.004,50.5,107.1,33.5,50.8,71.7,9.3,27.7,7.7,23.4,35.1,23.6,75.4,50.1,2.2,7,12.5,13.3,0.937,0.5,0.5,71.8,14.8,72.1,0.5,45.8,51.9,31.2,55.2,72.4,108.6,12.7,12.4,1.024,-0.09,9.2,-4.1,237,239,-5.82,100.8,106.6,69.1,0.023,-4.78,103.7,108.5,-1.38
Providence,Providence,BE,P5,21,11,11,78.1,6.8,27.5,59.9,1.094,0.999,51.5,111,35.1,50.9,74.5,6.7,18.9,10.5,24.6,38.3,32.8,75.7,54.5,4.6,6.9,14.7,11.8,1.247,0.656,0.556,71.4,15,71.3,-6.8,44.3,50,33.9,49.6,74.4,106.2,12.8,11.8,1.088,0.16,11.5,-0.3,56,44,14.73,116.8,102.1,66.9,-0.01,6.55,108.3,101.7,-8.98
Yale,Yale,Ivy,MM,21,8,0,74.5,10.8,27.4,58.1,1.075,0.919,53.3,111.9,35.8,53.1,70.2,7.2,20.1,8.3,25.9,36.8,27,79.4,53.4,3.7,6.2,13.7,11.2,1.223,0.731,0.5,69.3,17.7,63.7,-10.8,40.3,46.9,32.5,45.6,69.8,100.9,11.3,12.7,0.894,0.33,9.9,-1.3,64,67,12.39,110.8,98.4,66.1,-0.044,-0.71,104.5,105.2,0.36
Lipscomb,Lipscomb,ASun,MM,20,13,0,74.7,2.1,27.9,59.6,1.041,1.012,53.7,112.8,36,53.5,76.3,8.1,22.5,6.9,25.5,35.4,23,77.6,51.3,2.6,5.1,13.6,12.2,1.121,0.567,0.5,71.7,14.4,72.6,-2.1,43.5,50.2,34.3,49.4,75.3,106.2,10.9,11,0.994,0.13,7.7,-4.5,148,157,1.02,104.9,103.8,69.4,-0.001,-2.61,105.6,108.2,-2.4
Drexel,Drexel,CAA,MM,17,15,0,66.1,3.2,23.8,55.4,0.988,0.941,49.4,104.4,31.8,50.6,68.1,7.1,22.3,8.3,23.2,34.5,27.4,76,51.1,3.2,5.4,11.5,11.7,0.989,0.516,0.3,66.9,14.6,63,-3.2,42.6,47.4,33.5,46.2,71.1,100.4,11.2,11.7,0.959,0.03,8.6,-3.1,191,200,-1.96,101.2,103.1,63.7,-0.074,-6.43,101.2,107.6,-1.5
Clemson,Clemson,ACC,P5,23,10,0,75,7.2,26.5,56.4,1.076,0.974,54.4,116,36.9,53.6,79,8.4,22.6,6.5,26.4,35,22,77.7,51.5,3.1,5.2,14.3,11.2,1.283,0.697,0.625,69.7,17.5,67.9,-7.2,40.7,47.4,33.2,45.7,73.1,102.3,11.5,11.4,1.013,0.27,8.3,-2.9,60,64,12.67,111.1,98.4,68.2,0.016,2.7,107.7,105,-5.56
Richmond,Richmond,A10,MM,15,18,0,68.9,1.1,23.8,54.3,1.008,0.992,51.2,109.7,33,52.4,74.5,7.9,23.9,6.1,24.4,32.3,19.7,76.3,48.4,2.4,5.7,12.2,11.5,1.058,0.455,0.308,68.3,15.1,67.8,-1.1,43,49.6,33,49.7,72.6,105.1,12.3,11.5,1.063,0.00,8.1,-3.4,159,155,1.09,103.7,102.6,65.4,-0.075,-0.51,105,105.5,-2.61
Texas Tech,Texas Tech,B12,P5,16,16,0,73.3,4.3,26,56.6,1.036,0.974,52.3,111.3,34.5,52.5,72.2,7.2,20.8,9,23.7,35.1,30.5,71.8,51.8,2.9,7.3,12.9,13.7,0.941,0.5,0.125,70.8,15.4,69,-4.3,41.9,48.9,32.4,49.1,71.1,103.9,13.4,13.8,0.966,-0.03,10.2,-3.5,63,61,12.95,111.8,98.9,67.2,-0.08,9.81,110.1,100.3,-7.03
Nevada,Nevada,MWC,MM,22,10,11,71.8,4.5,24,54.3,1.041,0.975,50.5,111.4,33.8,50.3,79.2,6.9,20.3,6.1,24.3,33.2,20.3,77.4,49.5,3.1,6.1,13.9,10.3,1.354,0.677,0.714,69,18,67.3,-4.5,42.2,49,32.5,49.3,73.7,105.5,12.4,12.6,0.98,0.37,9.2,-1.1,37,43,14.79,112,97.2,66.1,0.013,7.7,109.4,101.7,3.81
